"symbol","name","sector","industry","curr_close","prev_close","volume","change"
"MDVN","Medivation, Inc.","Consumer Durables","Major Pharmaceuticals","51.19","52.71",601500,"2.88370328210966"
"MEIP","MEI Pharma, Inc.","Consumer Durables","Major Pharmaceuticals","8.74","8.92",16100,"2.01793721973094"
"MELA","MELA Sciences, Inc","Health Care","Medical/Dental Instruments","1.09","1.23",1493500,"11.3821138211382"
"MPEL","Melco Crown Entertainment Limited","Consumer Services","Hotels/Resorts","24.3","24.61",2344200,"1.25965054855749"
"MLNX","Mellanox Technologies, Ltd.","Technology","Semiconductors","51.31","50.98",875200,"-0.647312671635936"
"MEMP","Memorial Production Partners LP","Energy","Oil & Gas Production","18.93","19.26",392300,"1.71339563862929"
"MEMS","MEMSIC, Inc.","Technology","Semiconductors","4.07","4.07",475300,0
"MENT","Mentor Graphics Corporation","Technology","EDP Services","17.99","18.26",1000600,"1.47864184008764"
"MTSL","MER Telemanagement Solutions Ltd.","Public Utilities","Telecommunications Equipment","2.04","2.05",17000,"0.48780487804877"
"MELI","MercadoLibre, Inc.","Misc","Business Services","97.96","100.59",808200,"2.61457401332141"
"MBWM","Mercantile Bank Corporation","Finance","Major Banks","16.5","16.71",41900,"1.25673249551167"
"MERC","Mercer International Inc.","Basic Industries","Paper","6.18","6.29",228900,"1.74880763116058"
"MBVT","Merchants Bancshares, Inc.","Finance","Major Banks","28.56","30.34",21500,"5.86684245220831"
"MRCY","Mercury Systems Inc","Capital Goods","Electrical Products","8.19","7.73",692600,"-5.95084087968951"
"MRGE","Merge Healthcare Incorporated.","Technology","EDP Services","3.01","3.12",656600,"3.52564102564104"
"VIVO","Meridian Bioscience Inc.","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","19.52","20.29",270200,"3.79497289305076"
"EBSB","Meridian Interstate Bancorp, Inc.","Finance","Banks","17.5","18.29",28800,"4.31930016402405"
"MMSI","Merit Medical Systems, Inc.","Health Care","Medical/Dental Instruments","9.64","9.67",462300,"0.310237849017569"
"MACK","Merrimack Pharmaceuticals, Inc.","Consumer Durables","Major Pharmaceuticals","4.5","4.92",895100,"8.53658536585366"
"MERU","Meru Networks, Inc.","Technology","Computer Communications Equipment","4.82","5.65",1164800,"14.6902654867257"
"MSLI","Merus Labs International Inc.","Consumer Durables","Major Pharmaceuticals","0.66","0.62",4000,"-6.45161290322582"
"MLAB","Mesa Laboratories, Inc.","Capital Goods","Industrial Machinery/Components","47.55","49.36",10000,"3.66693679092382"
"CASH","Meta Financial Group, Inc.","Finance","Savings Institutions",27,"26.61",8800,"-1.46561443066517"
"MBLX","Metabolix, Inc.","Basic Industries","Containers/Packaging","1.85","1.74",64600,"-6.32183908045978"
"MEOH","Methanex Corporation","Basic Industries","Major Chemicals","41.58","42.38",468700,"1.88768286927797"
"MEIL","METHES ENERGIES INTERNATIONAL LTD","Basic Industries","Major Chemicals","3.66","3.71",1200,"1.3477088948787"
"METR","Metro Bancorp, Inc","Finance","Major Banks","17.62","17.75",114500,"0.732394366197175"
"MCBI","MetroCorp Bancshares, Inc.","Finance","Major Banks","9.9","10.05",93200,"1.49253731343284"
"MFRI","MFRI, Inc.","Capital Goods","Pollution Control Equipment","6.99","7.29",98900,"4.11522633744855"
"MGEE","MGE Energy Inc.","Energy","Electric Utilities: Central","53.77","55.85",101400,"3.72426141450313"
"MGPI","MGP Ingredients, Inc.","Consumer Non-Durables","Packaged Foods","4.9","4.9",11200,0
"MCRL","Micrel, Incorporated","Technology","Semiconductors","9.76","10.06",322600,"2.98210735586482"
"MCHP","Microchip Technology Incorporated","Technology","Semiconductors","36.1","36.42",1051500,"0.878638110928065"
"MFI","MicroFinancial Incorporated","Finance","Diversified Financial Services","7.8","8.09",70400,"3.58467243510506"
"MU","Micron Technology, Inc.","Technology","Semiconductors","9.2","9.42",29141100,"2.33545647558387"
"MICT","Micronet Enertec Technologies, Inc.","Finance","Asset management","4.17","4.35",7100,"4.13793103448276"
"MCRS","MICROS Systems, Inc.","Technology","EDP Services","42.73","42.41",1415700,"-0.754539023815148"
"MSCC","Microsemi Corporation","Technology","Semiconductors","20.12","20.8",603400,"3.26923076923077"
"MSFT","Microsoft Corporation","Technology","Computer Software: Prepackaged Software","32.72","33.1",54330900,"1.14803625377644"
"MSTR","MicroStrategy Incorporated","Technology","Computer Software: Prepackaged Software","89.22","90.19",263000,"1.07550726244595"
"MVIS","Microvision, Inc.","Capital Goods","Industrial Machinery/Components","2.01","2.05",103100,"1.95121951219512"
"MPB","Mid Penn Bancorp","Finance","Major Banks","10.75","10.65",1300,"-0.938967136150226"
"MCEP","Mid-Con Energy Partners, LP","Energy","Oil & Gas Production","24.2","24.98",87300,"3.12249799839872"
"MBRG","Middleburg Financial Corporation","Finance","Major Banks","16.83","18.09",24000,"6.96517412935325"
"MSEX","Middlesex Water Company","Public Utilities","Water Supply",19,"19.61",66700,"3.11065782763895"
"MOFG","MidWestOne Financial Group, Inc.","Finance","Major Banks","23.25","23.9",21600,"2.71966527196652"
"MDXG","MiMedx Group, Inc","Finance","Asset management","6.75","6.92",1024600,"2.45664739884393"
"MNDO","MIND C.T.I. Ltd.","Technology","EDP Services","1.96","1.96",15600,0
"MSPD","Mindspeed Technologies, Inc.","Technology","Semiconductors","2.69","2.29",3823700,"-17.4672489082969"
