"","tax-2000","tax-2001","tax-2002","tax-2003","tax-2004","tax-2005","tax-2006","tax-2007","tax-2008","tax-2009","tax-2010","tax-2011","muni"
"26",0.400413676212181,0.398892246877262,0.38628823852261,0.375064702941606,0.354472007258136,0.34067476793804,0.338012121501348,0.341688649338999,0.350386145477716,0.347627284576831,0.316793464478499,0.311189069224525,"Hillerød"
"27",0.424168076111651,0.42153015946831,0.409236120971177,0.39625916906453,0.374320122177059,0.360391207520057,0.357921603665139,0.355302121260499,0.376807183077157,0.372348682120387,0.345837154755879,0.312655977463072,"Hørsholm"
"28",0.427599770822793,0.426779036098488,0.404464596012253,0.3915240230611,0.367470526940456,0.351520882027627,0.34496451132284,0.343142274309028,0.363237562668724,0.3570433575106,0.328223242760883,0.305982759261228,"Rudersdal"
"29",0.369575487172758,0.368910538902104,0.356906566320799,0.351755331259012,0.33319399593174,0.325003070296948,0.326319909565427,0.333268764362174,0.342974268480824,0.318498923727275,0.291666666666667,0.300184120989545,"Bornholm"
"30",0.391964786413039,0.389085947569198,0.37464121015182,0.362882804754578,0.340966018115419,0.327788834898264,0.324880813481792,0.323706613563736,0.33348784824704,0.338020661141675,0.304834749525784,0.295160034147272,"Greve"
"31",0.3852006215344,0.385443773877415,0.373099641953525,0.365487178003453,0.343431242031051,0.333317429266664,0.331706367689862,0.336485554928871,0.344232173904098,0.334437784333498,0.302730856430891,0.30759684870865,"Køge"
"32",0.398547620596157,0.394596717123772,0.384560683181833,0.374582099730548,0.348206459924092,0.336542106555365,0.338658828101859,0.33944054191031,0.352526651917721,0.351921276295763,0.317758049703615,0.32240080309288,"Lejre"
"33",0.391526333969548,0.3905906853922,0.375737017159271,0.365805576656895,0.344687755287283,0.333318715437813,0.334730266917584,0.331935180177473,0.34500810711651,0.346773920978808,0.314215839437739,0.307361938488499,"Roskilde"
"34",0.399061770938795,0.401614827122176,0.386394729227238,0.37528608561118,0.35342827609969,0.340506870950125,0.337592184758786,0.337956309044648,0.351626026506425,0.35638974445227,0.320127934136117,0.296050843975532,"Solrød"
"35",0.395831657768841,0.392935004588348,0.384610216095804,0.376278825170277,0.353594043559947,0.34711231954239,0.353092818721334,0.350489444000259,0.359144478019801,0.334955128163208,0.305370151132158,0.31300079894717,"Faxe"
